,rouge-1-p,rouge-1-r,rouge-1-f,rouge-2-p,rouge-2-r,rouge-2-f,rouge-3-p,rouge-3-r,rouge-3-f,rouge-l-p,rouge-l-r,rouge-l-f,rouge-w-1.2-p,rouge-w-1.2-r,rouge-w-1.2-f,rouge-s2-p,rouge-s2-r,rouge-s2-f,rouge-su2-p,rouge-su2-r,rouge-su2-f,bleu_score
WA_tab_4,0.18974358974358974,0.29959514170040485,0.23233908948194662,0.04909560723514212,0.0778688524590164,0.060221870047543584,0.015625,0.024896265560165973,0.019200000000000002,0.1358974358974359,0.2145748987854251,0.16640502354788067,0.09412395276902591,0.061443503131472205,0.07435109551973676,0.036458333333333336,0.058091286307053944,0.044800000000000006,0.07537361923326835,0.11995863495346432,0.0925778132482043,2.1944351236019387e-155
WA_tab_10,0.13580246913580246,0.38596491228070173,0.20091324200913238,0.05056759545923633,0.14454277286135694,0.07492354740061162,0.027950310559006212,0.08035714285714286,0.041474654377880185,0.08333333333333333,0.23684210526315788,0.1232876712328767,0.058509576232120886,0.06447069434486298,0.061345661183062894,0.03899240855762595,0.11210317460317461,0.05785970302099334,0.06335660718903542,0.18188567186340016,0.0939777522056003,1.1436370200279691e-155
WA_graph_7,0.08997955010224949,0.6111111111111112,0.15686274509803924,0.030864197530864196,0.21739130434782608,0.05405405405405405,0.010351966873706004,0.07575757575757576,0.01821493624772313,0.07975460122699386,0.5416666666666666,0.13903743315508021,0.06170547356446722,0.22112692483606886,0.09648641168428541,0.024154589371980676,0.17676767676767677,0.042501517911353974,0.03927648578811369,0.2846441947565543,0.0690281562216167,1.884227312319362e-155
WA_graph_arch_3,0.043555555555555556,0.47115384615384615,0.07973962571196094,0.0071301247771836,0.07920792079207921,0.013082583810302535,0.0008936550491510277,0.01020408163265306,0.0016433853738701727,0.04088888888888889,0.4423076923076923,0.07485760781122865,0.02842252019784268,0.1919652869810725,0.049513966460719844,0.004766160262138814,0.05442176870748299,0.008764721993974251,0.014512167894619335,0.16455696202531644,0.02667213787443578,1.330865864112815e-155
WA_tab_9,0.26515151515151514,0.2127659574468085,0.2360876897133221,0.13026819923371646,0.10429447852760736,0.11584327086882452,0.10852713178294573,0.08668730650154799,0.0963855421686747,0.2159090909090909,0.17325227963525835,0.19224283305227655,0.17417910260031266,0.05458436340224085,0.08312040029421075,0.12661498708010335,0.10113519091847266,0.11244979919678716,0.16231884057971013,0.12972972972972974,0.14420600858369098,2.2706392740752027e-155
WA_graph_6,0.09247311827956989,0.5758928571428571,0.15935762816553428,0.04597701149425287,0.2895927601809955,0.07935523868567886,0.03311735061195104,0.21100917431192662,0.05724953329184816,0.08673835125448029,0.5401785714285714,0.14947498455836938,0.05881300871516131,0.21561162753693736,0.09241712918056594,0.041996640268778494,0.26758409785932724,0.07259904584111179,0.05468609462133477,0.3474285714285714,0.09449797948399129,1.1410400003820076e-155
WA_graph_arch_2,0.023240371845949535,0.45454545454545453,0.04421983575489577,0.0026613439787092482,0.05405405405405406,0.0050729232720355105,0.0,0.0,0.0,0.02257636122177955,0.44155844155844154,0.042956411876184465,0.017413850876307906,0.21512873253230616,0.032219644356010345,0.0035555555555555557,0.07511737089201878,0.006789730532569488,0.00849575212393803,0.17770034843205576,0.016216216216216217,1.9897972577116598e-79
WA_curve_5,0.06015037593984962,0.6075949367088608,0.10946408209806156,0.03270440251572327,0.34210526315789475,0.05970149253731343,0.020202020202020204,0.2191780821917808,0.0369942196531792,0.047619047619047616,0.4810126582278481,0.08665906499429875,0.040086669129487974,0.21027808506319437,0.0673365390291584,0.026936026936026935,0.2922374429223744,0.049325626204238915,0.03532008830022075,0.37966101694915255,0.06462781304096941,1.3855921949420485e-155
WA_tab_6,0.1784776902887139,0.4788732394366197,0.260038240917782,0.082010582010582,0.22302158273381295,0.11992263056092843,0.064,0.17647058823529413,0.09393346379647749,0.13123359580052493,0.352112676056338,0.1912045889101338,0.1063081624028068,0.13129452710600728,0.11748755823462485,0.07733333333333334,0.21323529411764705,0.11350293542074363,0.10246174318030606,0.28153564899451555,0.15024390243902438,2.0553223589157077e-155
WA_graph_2,0.23972602739726026,0.5172413793103449,0.32761310452418096,0.11724137931034483,0.255,0.16062992125984252,0.04398148148148148,0.09644670050761421,0.0604133545310016,0.19863013698630136,0.42857142857142855,0.2714508580343214,0.12759295382024616,0.11831024555601788,0.12277639116514952,0.10493827160493827,0.23011844331641285,0.14414414414414414,0.13749277874061236,0.3008849557522124,0.1887390959555908,1.804056100816223e-155
WA_graph_4,0.07916666666666666,0.37109375,0.1304945054945055,0.014202172096908938,0.06719367588932806,0.023448275862068962,0.002512562814070352,0.012,0.0041551246537396115,0.058333333333333334,0.2734375,0.09615384615384615,0.038745462768014924,0.07453372512549801,0.050986306055197585,0.015912897822445562,0.076,0.02631578947368421,0.03180581711655158,0.15154536390827517,0.05257696298858527,1.3202285080298763e-155
WA_curve_4,0.09291187739463602,0.42920353982300885,0.15275590551181104,0.022094140249759846,0.1031390134529148,0.03639240506329114,0.008670520231213872,0.04090909090909091,0.014308426073131956,0.08045977011494253,0.37168141592920356,0.13228346456692913,0.053615975801083314,0.1043319306717163,0.0708316861564527,0.022157996146435453,0.10454545454545454,0.03656597774244833,0.039470517448856796,0.1857304643261608,0.06510520047637951,1.413301558737568e-155
WA_curve_2,0.09392265193370165,0.27717391304347827,0.14030261348005504,0.005555555555555556,0.016574585635359115,0.008321775312066574,0.0,0.0,0.0,0.06998158379373849,0.20652173913043478,0.1045392022008253,0.04746805876559915,0.061488914009055595,0.0535763670609923,0.006828057107386716,0.020599250936329586,0.010256410256410255,0.028358902835890282,0.08531468531468532,0.04256803907885555,2.181094913887798e-155
WA_curve_7,0.0703125,0.54,0.12442396313364056,0.026979982593559618,0.2108843537414966,0.04783950617283951,0.007853403141361256,0.0625,0.013953488372093023,0.06076388888888889,0.4666666666666667,0.10752688172043012,0.04394164105187517,0.15425189860129204,0.0683986125054294,0.02123327515997673,0.16898148148148148,0.03772609819121447,0.03357314148681055,0.2659758203799655,0.05962059620596206,1.2756500679749229e-155
WA_tab_5,0.14988814317673377,0.4785714285714286,0.22827938671209538,0.07432432432432433,0.24087591240875914,0.11359724612736662,0.061224489795918366,0.20149253731343283,0.09391304347826086,0.116331096196868,0.37142857142857144,0.17717206132879046,0.09631881565977611,0.14217386623731224,0.11483805964040802,0.07029478458049887,0.23134328358208955,0.10782608695652174,0.09054895302773061,0.29684601113172543,0.13876843018213356,1.8401429248927402e-155
WA_graph_8,0.09053497942386832,0.5038167938931297,0.15348837209302327,0.03856749311294766,0.21875,0.06557377049180328,0.024896265560165973,0.144,0.04245283018867924,0.06858710562414266,0.3816793893129771,0.11627906976744186,0.05534243901006817,0.14470086874266544,0.08006365314648133,0.03550023052097741,0.20533333333333334,0.06053459119496855,0.049395509499136445,0.28429423459244535,0.08416715715126545,1.339988040439279e-155
WA_tab_1,0.21333333333333335,0.5517241379310345,0.3076923076923077,0.09212730318257957,0.24017467248908297,0.1331719128329298,0.04713804713804714,0.12389380530973451,0.06829268292682927,0.13666666666666666,0.35344827586206895,0.1971153846153846,0.09872576346835264,0.10693293791226038,0.10266558977987444,0.08810325476992144,0.23156342182890854,0.1276422764227642,0.11979823455233292,0.31422271223814774,0.17346317711503348,1.9239802171912144e-155
WA_tab_8,0.19540229885057472,0.2463768115942029,0.21794871794871795,0.05847953216374269,0.07407407407407407,0.065359477124183,0.0,0.0,0.0,0.1724137931034483,0.21739130434782608,0.19230769230769232,0.12194730677629821,0.07147958224794876,0.09012958424347674,0.027777777777777776,0.03535353535353535,0.03111111111111111,0.07111111111111111,0.0903954802259887,0.07960199004975124,2.6864128935660134e-155
